id_produto,nome_produto,categoria_produto,preco_produto,fornecedor_produto,peso_kg_produto,estoque_produto,produto_ativo,data_cadastro_produto,faixa_preco_produto,status_estoque_produto,total_pedidos,quantidade_vendida,receita_total_produto,ticket_medio_produto,data_primeira_venda,data_ultima_venda,pedidos_aprovados,pedidos_recusados,pedidos_processando,pedidos_reembolsados,total_avaliacoes,nota_media_produto,nps_medio_produto,taxa_recomendacao_produto,data_ultima_avaliacao,total_tickets_produto,tempo_medio_resolucao_produto,total_eventos_produto,total_sessoes_produto,total_pageviews_produto,total_add_carrinho_produto,total_eventos_compra_produto,data_ultimo_evento_produto,status_comercial_produto,produto_com_alto_volume_suporte
PROD-0484,Bancada de Trabalho,Móveis,643.0,MoveisPlus Distribuidora,54.35,54,False,2023-08-02,Alto,Estoque Normal,131,372.0,165706.35999999993,1416.2936752136745,2023-01-09,2026-05-23,119,7,2,3,69,3.5072463768115942,6.681159420289855,0.63768,2026-07-09,11,146.6,493,493,305,93,9,2026-03-28 23:15:43,Produto Destaque,False
PROD-0297,Lápis de Sobrancelha,Beleza,52.0,Perfumes & Cia,1.26,482,False,2023-04-14,Medio,Estoque Normal,617,1775.0,70230.37000000002,123.64501760563384,2023-01-07,2026-05-24,554,33,8,22,290,3.8241379310344827,7.510344827586207,0.80000,2026-06-28,53,128.83673469387756,546,543,348,99,4,2026-03-26 03:38:06,Produto Destaque,True
PROD-0500,Suporte Veicular Magnetico,Automotivo,90.0,Automotivo Import,15.87,435,False,2024-05-28,Medio,Estoque Normal,631,1786.0,126601.54999999999,222.4983304042179,2023-01-01,2026-05-24,577,31,6,17,335,3.611940298507463,6.919402985074627,0.71642,2026-06-30,52,117.6078431372549,524,520,343,98,9,2026-03-28 22:44:22,Produto Destaque,True
PROD-0005,Notebook Intel Core i7,Eletrônicos,3364.0,TechBrasil Distribuidora,3.77,271,True,2018-12-02,Alto,Estoque Normal,3573,9954.0,23660251.109999947,7329.69365241634,2023-01-01,2026-05-29,3263,182,39,89,1809,3.6882255389718077,7.246545052515202,0.75622,2026-07-17,284,125.6367041198502,503,500,318,100,7,2026-03-27 20:41:43,Produto Destaque,True
PROD-0028,Carregador Turbo,Eletrônicos,163.0,Shenzhen Connect Brasil,2.48,388,True,2023-10-28,Medio,Estoque Normal,1698,4593.0,556506.99,358.11260617760615,2023-01-02,2026-04-20,1497,65,20,116,822,3.5498783454987834,7.007299270072993,0.72019,2026-05-13,415,126.1,529,529,322,115,8,2026-03-27 18:07:26,Produto Destaque,True
PROD-0207,Mochila de Trilha 40L,Esportes,563.0,SportsBrasil Atacado,4.11,27,True,2023-03-04,Alto,Estoque Normal,109,295.0,124510.03000000006,1257.6770707070714,2023-01-02,2026-05-25,99,7,0,3,52,3.5961538461538463,7.096153846153846,0.69231,2026-07-06,19,118.83333333333333,509,505,331,101,3,2026-03-26 02:45:36,Produto Destaque,False
PROD-0479,Cadeira Alta para Bebe,Móveis,620.0,MoveisPlus Distribuidora,37.92,394,True,2023-03-07,Alto,Estoque Normal,111,296.0,146778.49000000002,1397.890380952381,2023-01-04,2026-05-01,102,6,1,2,45,3.6,7.044444444444444,0.80000,2026-06-02,14,118.5,501,499,300,96,7,2026-03-28 18:17:28,Produto Destaque,False
PROD-0114,Roupa de Banho Masculina,Vestuário,63.0,Confecções do Sul,0.22,266,True,2021-09-03,Medio,Estoque Normal,615,1711.0,76494.32999999997,140.35656880733939,2023-01-06,2026-05-26,559,30,8,18,303,3.6468646864686467,7.32013201320132,0.77558,2026-06-29,43,118.3170731707317,527,527,343,83,13,2026-03-28 08:59:31,Produto Destaque,True
PROD-0203,Patins Inline,Esportes,302.0,Fitness Distribuidora,3.86,0,False,2018-03-24,Alto,Sem Estoque,125,365.0,77530.62,717.8761111111111,2023-01-02,2026-04-28,114,6,1,4,62,3.838709677419355,7.306451612903226,0.80645,2026-06-27,11,80.0909090909091,491,489,328,85,7,2026-03-27 04:39:09,Produto Destaque,False
PROD-0043,Aspirador Robô,Casa,1549.0,Alpha Tech Importados,4.67,0,True,2021-09-12,Alto,Sem Estoque,1783,5021.0,5446330.699999995,3372.340990712071,2023-01-02,2026-05-31,1611,105,27,40,891,3.702581369248036,7.333333333333333,0.77329,2026-07-19,162,113.16774193548387,537,536,347,92,7,2026-03-28 19:34:15,Produto Destaque,True
PROD-0331,Alarme Automotivo Completo,Automotivo,544.0,AutoPeças Brasil Ltda,10.89,85,True,2021-12-07,Alto,Estoque Normal,124,337.0,149959.46000000002,1303.9953043478263,2023-01-11,2026-05-13,112,4,1,7,58,3.7413793103448274,7.827586206896552,0.81034,2026-04-25,11,115.66666666666667,539,537,361,81,8,2026-03-28 01:54:29,Produto Destaque,False
PROD-0253,Perfume Masculino 50ml,Beleza,109.0,Perfumes & Cia,0.35,385,True,2019-01-09,Medio,Estoque Normal,285,803.0,66494.46000000002,262.82395256917005,2023-01-02,2026-05-30,255,17,4,9,148,3.608108108108108,7.054054054054054,0.72297,2026-07-03,25,96.04166666666667,504,500,342,75,10,2026-03-27 23:39:36,Produto Destaque,True
PROD-0393,Bicicleta Infantil Aro 12,Brinquedos,201.0,Brinquedos do Brasil Ltda,2.99,0,True,2023-04-09,Alto,Sem Estoque,284,819.0,124687.21000000004,479.56619230769246,2023-01-01,2026-05-19,269,7,3,5,142,3.471830985915493,6.838028169014085,0.69718,2026-07-16,19,113.72222222222223,478,477,300,84,13,2026-03-27 11:26:31,Produto Destaque,False
PROD-0125,Suspensório,Vestuário,66.0,TextilBrasil Distribuidora,1.36,28,True,2018-07-15,Medio,Estoque Normal,622,1790.0,83110.85999999999,150.0196028880866,2023-01-02,2026-05-29,555,31,13,23,288,3.59375,6.895833333333333,0.74653,2026-06-15,52,113.4,490,489,331,84,7,2026-03-26 20:54:11,Produto Destaque,True
PROD-0012,Tablet 8 Polegadas,Eletrônicos,583.0,TechBrasil Distribuidora,2.84,348,False,2022-10-11,Alto,Estoque Normal,2257,6303.0,2705563.4799999925,1315.935544747078,2023-01-03,2026-05-28,2049,116,35,57,1136,3.7007042253521125,7.286971830985915,0.76144,2026-07-07,170,113.24203821656052,497,497,324,92,6,2026-03-21 02:50:42,Produto Destaque,True
PROD-0465,Berco Multifuncional,Móveis,1927.0,MoveisPlus Distribuidora,,422,True,2024-11-27,Alto,Estoque Normal,89,247.0,369267.80999999994,4503.2659756097555,2023-01-15,2026-04-03,77,5,2,5,34,3.5294117647058822,6.794117647058823,0.73529,2026-04-07,4,101.25,534,534,335,98,11,2026-03-26 07:37:59,Produto Destaque,False
PROD-0401,Microscopio Infantil,Brinquedos,359.0,Toy Import Atacado,5.5,384,False,2018-01-09,Alto,Estoque Normal,134,389.0,101987.57000000005,835.9636885245906,2023-01-04,2026-03-29,122,9,0,3,74,3.6486486486486487,7.594594594594595,0.82432,2026-05-07,8,123.375,513,512,336,80,8,2026-03-28 08:29:01,Produto Destaque,False
PROD-0391,Patinete Infantil,Brinquedos,334.0,Brinquedos do Brasil Ltda,3.52,426,True,2022-01-20,Alto,Estoque Normal,131,347.0,85495.16,712.4596666666667,2023-01-02,2026-05-04,121,5,0,5,64,3.625,7.5625,0.78125,2026-05-20,16,111.6,488,486,318,83,7,2026-03-26 13:49:17,Produto Destaque,False
PROD-0059,Mesa Digitalizadora,Eletrônicos,479.0,Shenzhen Connect Brasil,1.42,34,True,2019-01-27,Alto,Estoque Normal,1635,4521.0,1629311.139999999,1086.207426666666,2023-01-01,2026-05-29,1415,77,21,122,787,3.656925031766201,7.170266836086404,0.74968,2026-07-22,363,115.10588235294118,508,505,324,90,5,2026-03-27 10:16:36,Produto Destaque,True
PROD-0176,Vela Perfumada,Casa,68.0,Casa & Cia Distribuidora,0.53,443,False,2018-04-27,Medio,Estoque Normal,588,1647.0,83225.29000000007,154.98191806331482,2023-01-04,2026-05-30,530,36,7,15,292,3.797945205479452,7.465753424657534,0.78425,2026-07-10,38,116.44444444444444,526,524,352,82,7,2026-03-27 17:07:00,Produto Destaque,True
PROD-0132,Travesseiro Viscoelástico,Casa,174.0,Decor Import,5.81,19,True,2024-01-03,Medio,Estoque Normal,298,853.0,109786.93999999997,403.62845588235285,2023-01-18,2026-05-25,277,15,2,4,143,3.629370629370629,7.1678321678321675,0.75524,2026-07-02,21,123.04761904761905,474,473,303,85,9,2026-03-26 08:22:02,Produto Destaque,True
PROD-0069,Calça Jeans Feminina,Vestuário,181.0,Moda Brasil Atacado,1.65,0,True,2025-01-04,Medio,Sem Estoque,309,864.0,113202.33,401.42670212765955,2023-01-06,2026-04-20,277,16,7,9,152,3.625,7.177631578947368,0.75000,2026-05-11,25,135.95652173913044,509,507,325,89,13,2026-03-28 21:22:07,Produto Destaque,True
PROD-0334,Chave de Roda,Automotivo,38.0,AutoPeças Brasil Ltda,11.98,227,True,2024-12-26,Baixo,Estoque Normal,643,1809.0,53148.90000000005,91.7943005181348,2023-01-02,2026-05-31,591,28,3,21,294,3.5884353741496597,6.914965986394558,0.71429,2026-07-20,49,127.2,536,533,337,102,12,2026-03-21 02:50:30,Produto Destaque,True
PROD-0460,Penteadeira com Espelho,Móveis,806.0,MoveisPlus Distribuidora,,149,True,2025-06-18,Alto,Estoque Normal,83,227.0,139999.91,1842.1040789473684,2023-01-30,2026-03-28,79,1,0,3,42,3.4523809523809526,6.476190476190476,0.69048,2026-03-03,4,113.75,535,532,327,106,8,2026-03-24 16:40:31,Produto Destaque,False
PROD-0355,Cera Automotiva 500g,Automotivo,62.0,Peças & Cia Distribuidora,,497,False,2024-02-14,Medio,Estoque Normal,643,1816.0,89168.37,149.11098662207357,2023-01-01,2026-05-03,582,32,16,13,311,3.5884244372990355,7.096463022508039,0.72026,2026-05-21,50,115.76595744680851,528,527,337,99,5,2026-03-28 14:08:47,Produto Destaque,True
PROD-0346,Volante Esportivo,Automotivo,307.0,Automotivo Import,22.97,38,False,2026-01-10,Alto,Estoque Normal,118,328.0,77054.75999999998,755.4388235294116,2023-01-02,2026-05-08,113,4,0,1,57,3.6491228070175437,7.385964912280702,0.77193,2026-05-26,5,87.4,507,505,331,82,6,2026-03-26 19:12:13,Produto Destaque,False
PROD-0299,Escova Progressiva,Beleza,243.0,Beleza Total Atacado,1.23,355,False,2025-01-19,Alto,Estoque Normal,299,861.0,159491.77,584.2189377289377,2023-01-01,2026-05-28,270,16,3,10,143,3.7202797202797204,7.384615384615385,0.78322,2026-06-21,28,114.89285714285714,530,528,327,107,4,2026-03-27 08:11:59,Produto Destaque,True
PROD-0262,Protetor Solar FPS 30,Beleza,39.0,Perfumes & Cia,1.4,388,False,2020-10-20,Baixo,Estoque Normal,572,1604.0,48309.73999999998,93.44243713733073,2023-01-01,2026-05-21,504,36,12,20,271,3.6309963099630997,7.202952029520295,0.76015,2026-07-12,63,109.0701754385965,495,494,325,84,6,2026-03-28 21:04:29,Produto Destaque,True
PROD-0488,Mesa Dobravek,Móveis,310.0,MoveisPlus Distribuidora,41.38,53,False,2024-05-11,Alto,Estoque Normal,132,393.0,90028.17999999998,756.5393277310923,2023-01-10,2026-04-30,121,6,4,1,66,3.6515151515151514,7.424242424242424,0.74242,2026-05-03,12,89.36363636363636,544,542,338,102,9,2026-03-28 03:19:22,Produto Destaque,False
PROD-0179,Suporte para Livros,Casa,62.0,Decor Import,5.39,56,False,2023-11-18,Medio,Estoque Normal,573,1619.0,75792.38999999997,148.90449901768167,2023-01-04,2026-05-30,515,33,6,19,279,3.7132616487455197,7.308243727598566,0.75627,2026-06-23,46,119.88372093023256,507,504,328,91,13,2026-03-25 21:58:23,Produto Destaque,True
PROD-0426,Carrinho de Bebe de Boneca,Brinquedos,149.0,Brinquedos do Brasil Ltda,5.62,169,True,2020-04-27,Medio,Estoque Normal,312,925.0,102509.23999999998,358.423916083916,2023-01-03,2026-04-30,286,14,3,9,170,3.4647058823529413,6.670588235294118,0.72941,2026-05-31,24,110.78260869565217,507,507,314,105,7,2026-03-28 03:09:50,Produto Destaque,True
PROD-0092,Mochila Executiva,Vestuário,386.0,Fashion Import Ltda,1.75,346,False,2020-08-27,Alto,Estoque Normal,118,315.0,90404.5,837.0787037037037,2023-01-11,2026-05-18,106,4,7,1,56,3.8392857142857144,7.410714285714286,0.76786,2026-06-11,12,138.0909090909091,574,570,366,107,8,2026-03-23 10:12:53,Produto Destaque,False
PROD-0062,Impressora Fotográfica,Eletrônicos,784.0,TechBrasil Distribuidora,3.18,264,False,2023-11-16,Alto,Estoque Normal,2277,6529.0,3804128.749999999,1831.5497111218099,2023-01-02,2026-05-31,2045,126,36,70,1128,3.7145390070921986,7.273936170212766,0.76418,2026-07-22,188,111.73033707865169,509,509,337,80,8,2026-03-25 07:32:20,Produto Destaque,True
PROD-0350,Bomba de Ar Compressor 12V,Automotivo,,AutoPeças Brasil Ltda,19.2,131,False,2020-10-28,Nao Informado,Estoque Normal,577,1634.0,131093.21999999997,250.65625239005732,2023-01-01,2026-05-08,517,44,4,12,280,3.5785714285714287,7.242857142857143,0.75714,2026-06-28,54,112.18,527,526,339,95,6,2026-03-26 14:00:56,Produto Destaque,True
PROD-0463,Poltrona Decorativa,Móveis,1491.0,Decor Brasil Atacado,31.62,211,False,2022-02-22,Alto,Estoque Normal,105,301.0,323412.24,3368.8775,2023-01-02,2026-05-24,96,3,2,4,47,3.9361702127659575,7.574468085106383,0.80851,2026-06-05,13,79.15384615384616,518,516,340,88,9,2026-03-27 05:26:24,Produto Destaque,False
PROD-0083,Cueca Kit com 3,Vestuário,115.0,Moda Brasil Atacado,1.86,386,True,2025-06-02,Medio,Estoque Normal,310,856.0,69733.58999999998,253.57669090909084,2023-01-16,2026-05-30,281,15,7,7,152,3.4802631578947367,6.8355263157894735,0.69737,2026-06-07,39,133.72222222222223,507,505,319,88,9,2026-03-28 21:55:06,Produto Destaque,True
PROD-0184,Porta Papel Higiênico,Casa,35.0,HomeBrasil Atacado,11.02,175,True,2025-12-04,Baixo,Estoque Normal,610,1635.0,43948.59999999997,78.06145648312605,2023-01-02,2026-05-22,555,35,9,11,304,3.8157894736842106,7.391447368421052,0.77632,2026-07-08,51,131.10204081632654,527,526,325,104,6,2026-03-28 15:23:51,Produto Destaque,True
PROD-0388,Pista de Corrida Eletrica,Brinquedos,546.0,Brinquedos do Brasil Ltda,4.35,75,True,2018-09-01,Alto,Estoque Normal,125,363.0,150009.40000000005,1339.3696428571434,2023-01-25,2026-05-20,118,4,2,1,64,3.75,7.03125,0.76563,2026-05-09,9,73.22222222222223,482,479,304,92,5,2026-03-28 00:59:35,Produto Destaque,False
PROD-0441,Cadeira de Escritorio Ergonomica,Móveis,820.0,MoveisPlus Distribuidora,7.33,191,False,2026-01-25,Alto,Estoque Normal,82,226.0,131728.55,1756.3806666666665,2023-01-15,2026-03-31,75,6,0,1,40,3.625,7.275,0.72500,2026-03-15,11,85.36363636363636,529,526,344,90,9,2026-03-27 18:09:09,Produto Destaque,False
PROD-0025,Mouse Gamer,Eletrônicos,254.0,Shenzhen Connect Brasil,3.13,29,True,2025-06-27,Alto,Estoque Normal,1680,4738.0,891432.63,578.4767229072031,2023-01-01,2026-05-29,1452,77,30,121,815,3.5374233128834356,6.92638036809816,0.71411,2026-07-02,348,118.90577507598785,517,516,339,86,3,2026-03-28 07:44:02,Produto Destaque,True
PROD-0280,Esponja Mágica de Maquiagem,Beleza,80.0,Perfumes & Cia,0.75,42,True,2023-12-24,Medio,Estoque Normal,570,1613.0,99357.52999999994,191.07217307692295,2023-01-07,2026-05-31,516,31,4,19,293,3.7064846416382253,7.078498293515358,0.74744,2026-07-11,53,125.17307692307692,501,501,368,70,5,2026-03-26 08:33:17,Produto Destaque,True
PROD-0228,Luvas de Ciclismo,Esportes,66.0,Esporte Total Ltda,6.96,111,True,2020-09-01,Medio,Estoque Normal,579,1601.0,77868.87,146.37005639097742,2023-01-03,2026-05-23,523,29,12,15,275,3.610909090909091,7.210909090909091,0.76364,2026-06-27,36,102.11111111111111,543,542,363,88,9,2026-03-28 18:17:23,Produto Destaque,True
PROD-0229,Joelheira Esportiva Par,Esportes,70.0,Fitness Distribuidora,,488,True,2020-01-10,Medio,Estoque Normal,561,1570.0,80168.39999999998,157.50176817288798,2023-01-01,2026-05-12,519,23,8,11,278,3.672661870503597,7.125899280575539,0.76259,2026-06-03,36,107.29411764705883,553,552,337,104,7,2026-03-28 02:20:53,Produto Destaque,True
PROD-0270,Paleta de Sombras 18 Cores,Beleza,99.0,Beauty Import Brasil,,463,True,2019-03-28,Medio,Estoque Normal,569,1593.0,120906.97000000007,235.68610136452256,2023-01-01,2026-05-20,512,29,2,26,280,3.625,7.167857142857143,0.74643,2026-06-30,52,116.36734693877551,499,498,312,82,2,2026-03-22 03:10:34,Produto Destaque,True
PROD-0094,Carteira Masculina,Vestuário,168.0,Fashion Import Ltda,1.29,170,True,2019-12-02,Medio,Estoque Normal,272,766.0,93835.79000000002,378.370120967742,2023-01-16,2026-04-21,241,13,8,10,126,3.7777777777777777,7.365079365079365,0.77778,2026-05-08,15,105.53333333333333,531,531,338,85,5,2026-03-28 12:54:42,Produto Destaque,False
PROD-0018,Barra de Som,Eletrônicos,1466.0,Alpha Tech Importados,1.92,262,True,2025-02-18,Alto,Estoque Normal,1780,5015.0,5109854.420000007,3169.8848759305256,2023-01-01,2026-05-31,1613,98,18,51,873,3.670103092783505,7.177548682703322,0.74914,2026-07-21,195,118.46315789473684,485,484,305,89,4,2026-03-26 01:17:25,Produto Destaque,True
PROD-0495,Cama de Casal Queen Size,Móveis,3690.0,MoveisPlus Distribuidora,59.9,241,True,2025-05-03,Alto,Estoque Normal,46,130.0,383771.6500000001,8722.082954545456,2023-02-15,2026-04-27,45,1,0,0,30,3.8333333333333335,7.833333333333333,0.80000,2026-05-04,1,,520,518,337,86,10,2026-03-28 03:33:19,Produto Destaque,False
PROD-0506,Sapatilha Feminina,Vestuário,137.0,Fashion Import Ltda,1.85,470,True,2021-07-30,Medio,Estoque Normal,285,834.0,82925.83000000002,314.11299242424246,2023-01-04,2026-05-10,259,12,2,12,141,3.702127659574468,7.226950354609929,0.78014,2026-06-06,23,144.6818181818182,0,0,0,0,0,,Produto Destaque,True
PROD-0055,Estabilizador 1000VA,Eletrônicos,349.0,Shenzhen Connect Brasil,4.86,85,True,2019-08-28,Alto,Estoque Normal,1648,4685.0,1194146.0299999982,801.9785292142365,2023-01-01,2026-05-26,1447,75,19,107,790,3.439240506329114,6.640506329113924,0.68481,2026-06-16,361,122.36070381231671,514,513,342,80,7,2026-03-28 06:49:45,Produto Destaque,True
PROD-0079,Tênis Casual Feminino,Vestuário,495.0,Confecções do Sul,1.87,0,True,2022-01-28,Alto,Sem Estoque,123,378.0,135533.67000000004,1199.4130088495579,2023-01-13,2026-05-14,114,4,1,4,51,3.372549019607843,6.823529411764706,0.70588,2026-05-10,11,142.72727272727272,499,497,295,103,10,2026-03-28 13:55:45,Produto Destaque,False
PROD-0136,Jogo de Toalhas 4 Peças,Casa,258.0,Decor Import,12.35,204,False,2020-10-31,Alto,Estoque Normal,308,863.0,169295.82999999993,596.1120774647885,2023-01-04,2026-05-25,271,22,4,11,147,3.6462585034013606,7.2517006802721085,0.74150,2026-06-18,32,116.1,511,510,326,79,9,2026-03-26 23:44:17,Produto Destaque,True
PROD-0407,Lancador de Dardos,Brinquedos,66.0,Brinquedos do Brasil Ltda,6.02,359,True,2020-12-29,Medio,Estoque Normal,593,1613.0,78826.54999999996,146.51775092936796,2023-01-04,2026-05-29,533,37,6,17,304,3.6447368421052633,7.059210526315789,0.73026,2026-05-31,51,116.95918367346938,522,521,324,95,7,2026-03-28 00:47:44,Produto Destaque,True
PROD-0296,Máscara de Cílios,Beleza,83.0,Beauty Import Brasil,0.17,176,True,2019-01-31,Medio,Estoque Normal,548,1502.0,94003.72999999988,189.906525252525,2023-01-03,2026-05-29,482,39,8,19,283,3.784452296819788,7.3462897526501765,0.78799,2026-07-01,38,114.25714285714285,534,529,332,96,9,2026-03-27 16:43:34,Produto Destaque,True
PROD-0398,Kit Panelinhas Infantil,Brinquedos,,Brinquedos do Brasil Ltda,6.49,265,False,2025-09-08,Nao Informado,Estoque Normal,613,1640.0,124672.15000000001,220.26881625441698,2023-01-03,2026-05-29,551,32,16,14,318,3.792452830188679,7.286163522012578,0.79245,2026-06-19,52,124.6078431372549,529,529,334,101,6,2026-03-26 17:25:16,Produto Destaque,True
PROD-0293,Blush em Pó,Beleza,42.0,Beauty Import Brasil,1.39,60,True,2018-01-30,Baixo,Estoque Normal,614,1695.0,55241.61999999998,97.25637323943658,2023-01-05,2026-05-29,567,27,10,10,308,3.7240259740259742,7.201298701298701,0.75974,2026-07-14,57,124.71428571428571,533,532,344,86,5,2026-03-28 23:45:24,Produto Destaque,True
PROD-0073,Moletom com Capuz,Vestuário,,Confecções do Sul,,458,False,2022-07-01,Nao Informado,Estoque Normal,604,1725.0,126184.03999999995,227.35863063063053,2023-01-01,2026-05-29,545,32,8,19,285,3.7649122807017545,7.459649122807018,0.75789,2026-06-29,49,115.44444444444444,530,528,335,93,3,2026-03-28 23:02:05,Produto Destaque,True
PROD-0145,Organizador de Gaveta,Casa,91.0,Utilidades do Lar Ltda,8.16,69,False,2025-07-19,Medio,Estoque Normal,592,1682.0,117910.16000000009,214.38210909090927,2023-01-07,2026-05-26,534,35,5,18,271,3.7121771217712176,7.623616236162362,0.77122,2026-07-15,35,126.82857142857142,513,512,341,75,8,2026-03-27 04:11:40,Produto Destaque,True
PROD-0173,Cabideiro de Chão,Casa,133.0,Utilidades do Lar Ltda,6.28,142,True,2024-07-23,Medio,Estoque Normal,300,855.0,86479.48999999998,317.93930147058813,2023-01-10,2026-05-12,278,13,1,8,148,3.7094594594594597,7.351351351351352,0.78378,2026-06-20,23,106.23809523809524,538,537,349,106,7,2026-03-24 05:29:47,Produto Destaque,True
